Key,Category,Original_ZH,Original_EN,Current_ZH,Current_EN
ai.resp.wallet,ai,正在为您打开钱包。这里可以查看您的余额、积分和大模型调用奖励哦！💰,Opening your wallet. You can check your balance， points， and rewards here! 💰,正在为您打开钱包。这里可以查看您的余额、积分和大模型调用奖励哦！💰,Opening your wallet. You can check your balance， points， and rewards here! 💰
ai.resp.withdraw,ai,没问题，这是您的提现通道。💸 祝您提款顺利！,No problem， here is your withdrawal portal. 💸 Good luck!,没问题，这是您的提现通道。💸 祝您提款顺利！,No problem， here is your withdrawal portal. 💸 Good luck!
ai.thinking,ai,正在检索最优货源...,Optimizing sourcing...,正在检索最优货源...,Optimizing sourcing...
ai.welcome_msg,ai,您好！我是您的 AI 管家，能为你服务是我的荣幸。,Welcome. I am your AI Butler. It is my honor to serve you.,您好！我是您的 AI 管家，能为你服务是我的荣幸。,Welcome. I am your AI Butler. It is my honor to serve you.
api_model.api_key,api_model,API 密钥,API Key,API 密钥,API Key
api_model.api_key_placeholder,api_model,输入 API 密钥 (sk-...),Enter API Key (sk-...),输入 API 密钥 (sk-...),Enter API Key (sk-...)
api_model.desc,api_model,接入您自己的 大模型，享受无限制的对话体验，同时还能赚取算力共享奖励。,Connect your own API Key to enjoy unlimited chat and earn compute sharing rewards.,接入您自己的 大模型，享受无限制的对话体验，同时还能赚取算力共享奖励。,Connect your own API Key to enjoy unlimited chat and earn compute sharing rewards.
api_model.model,api_model,模型,Model,模型,Model
api_model.privacy_note,api_model,您的密钥仅通过不可逆加密存储于您本机的本地环境 (Local Storage) 中。所有模型请求均由您的设备端直接发起直连服务商，绝不经过或上传至 0Buck 服务器，100% 确保您的隐私与资产安全。,Your key is stored only in your local storage via irreversible encryption. All requests are made directly from your device to the provider. 0Buck never sees or stores your private keys.,您的密钥仅通过不可逆加密存储于您本机的本地环境 (Local Storage) 中。所有模型请求均由您的设备端直接发起直连服务商，绝不经过或上传至 0Buck 服务器，100% 确保您的隐私与资产安全。,Your key is stored only in your local storage via irreversible encryption. All requests are made directly from your device to the provider. 0Buck never sees or stores your private keys.
api_model.provider,api_model,服务商,Provider,服务商,Provider
api_model.success_desc,api_model,您的自定义 API 已生效。后续聊天将优先使用此模型，并可获得相应的 API 贡献奖励。,Your custom API is now active. Subsequent chats will prioritize this model， and you can earn API contribution rewards.,您的自定义 API 已生效。后续聊天将优先使用此模型，并可获得相应的 API 贡献奖励。,Your custom API is now active. Subsequent chats will prioritize this model， and you can earn API contribution rewards.
api_model.success_title,api_model,大模型添加成功,Model Added Successfully,大模型添加成功,Model Added Successfully
app.address_add,app,address_add,address_add,address_add,address_add
app.api_model_add,app,api_model_add,api_model_add,api_model_add,api_model_add
app.coupons,app,卡券,coupons,卡券,coupons
app.fans,app,粉丝,fans,粉丝,fans
app.lounge,app,沙龙,lounge,沙龙,lounge
app.settings,app,设置,settings,设置,settings
app.wallet,app,钱包,wallet,钱包,wallet
app.withdraw,app,提现,withdraw,提现,withdraw
auth.0buck_explorer,auth,0Buck Explorer,0Buck Explorer,0Buck Explorer,0Buck Explorer
auth.auto_create_desc,auth,系统将为新用户自动创建账号。,Account created automatically on first sign-in.,系统将为新用户自动创建账号。,Account created automatically on first sign-in.
auth.continue,auth,继续,Continue,继续,Continue
auth.create_account_action,auth,创建账号,Create Account,创建账号,Create Account
auth.create_password,auth,创建密码,Create Password,创建密码,Create Password
auth.didn_t_receive_it,auth,收到了吗?,Didn't receive it?,收到了吗?,Didn't receive it?
auth.email_placeholder,auth,邮箱地址,Email Address,邮箱地址,Email Address
auth.forgot_password,auth,忘记密码？,Forgot Password?,忘记密码？,Forgot Password?
auth.login_action,auth,立即登录,Log In,立即登录,Log In
auth.login_signup_desc,auth,购物签到全返新纪元,A New Era of Full Cashback on Shopping Check-ins,购物签到全返新纪元,A New Era of Full Cashback on Shopping Check-ins
auth.otp_sent_to,auth,验证码已发送至,Verification code sent to,验证码已发送至,Verification code sent to
auth.password_placeholder,auth,输入密码,Enter Password,输入密码,Enter Password
auth.resend,auth,重新发送,Resend,重新发送,Resend
auth.social_or,auth,或使用其他方式,Or connect with,或使用其他方式,Or connect with
auth.verify_action,auth,验证,Verify,验证,Verify
auth.verify_email,auth,身份验证,Verify Email,身份验证,Verify Email
auth.welcome,auth,欢迎体验 0Buck,Welcome to 0Buck,欢迎体验 0Buck,Welcome to 0Buck
auth.welcome_back,auth,欢迎回来,Welcome Back,欢迎回来,Welcome Back
cart.checkout,cart,去结算,Checkout,去结算,Checkout
cart.empty,cart,账单为空,List is empty,账单为空,List is empty
cart.go_shopping,cart,去逛逛,Go Shopping,去逛逛,Go Shopping
cart.mock_product_1_name,cart,Handcrafted Ceramic Mug,Handcrafted Ceramic Mug,Handcrafted Ceramic Mug,Handcrafted Ceramic Mug
cart.mock_product_1_variant,cart,Matte Black,Matte Black,Matte Black,Matte Black
cart.mock_product_2_name,cart,Organic Cotton T-Shirt,Organic Cotton T-Shirt,Organic Cotton T-Shirt,Organic Cotton T-Shirt
cart.mock_product_2_variant,cart,Large / Olive Green,Large / Olive Green,Large / Olive Green,Large / Olive Green
cart.title,cart,采购清单,Sourcing List,采购清单,Sourcing List
cashback.daily_title,cashback,每日签到返现,Daily check-in cashback,每日签到返现,Daily check-in cashback
cashback.fully_paid,cashback,奖励已全额发放,Bonus distribution,奖励已全额发放,Bonus distribution
cashback.go_center,cashback,签到中心,Check-in Center,签到中心,Check-in Center
cashback.pending_notice_desc,cashback,您的订单已支付成功。当您确认收货且超过7天无退货期后，签到返现将于次日0点自动开启。AI管家将全程为您监控物流进度。,Your order has been paid successfully. After delivery is confirmed and the 7-day return window passes the cashback check-in starts automatically at 00:00 next day. Your AI Butler monitors logistics throughout.,您的订单已支付成功。当您确认收货且超过7天无退货期后，签到返现将于次日0点自动开启。AI管家将全程为您监控物流进度。,Your order has been paid successfully. After delivery is confirmed and the 7-day return window passes the cashback check-in starts automatically at 00:00 next day. Your AI Butler monitors logistics throughout.
cashback.pending_notice_title,cashback,订单有效完成后自动开启,Automatically open after the order is completed.,订单有效完成后自动开启,Automatically open after the order is completed.
cashback.pending_subtitle,cashback,等待货物签收,Awaiting Delivery,等待货物签收,Awaiting Delivery
cashback.pending_title,cashback,签到返现将开启,Check-in Cashback Pending,签到返现将开启,Check-in Cashback Pending
cashback.phase_prefix,cashback,第,NO.,第,NO.
cashback.phase_suffix,cashback,期,P,期,P
cashback.total_prefix,cashback,共,Total,共,Total
cashback.total_suffix,cashback,期,P,期,P
cashback.view_order,cashback,查看订单,View Order,查看订单,View Order
cashbackradarcard.100_cashback_program,cashbackradarcard,购物全返,100% Cashback Program,购物全返,100% Cashback Program
chat.anyone_there,chat,有人在吗？,Anyone there?,有人在吗？,Anyone there?
chat.geek_week,chat,Geek Week: 参与讨论赢取积分,Geek Week: Join discussion for points,Geek Week: 参与讨论赢取积分,Geek Week: Join discussion for points
chat.input_placeholder,chat,说点什么...,Type a message...,说点什么...,Type a message...
chat.keyboard_desc,chat,这款机械键盘手感极佳，强烈推荐！,This mechanical keyboard feels amazing， highly recommended!,这款机械键盘手感极佳，强烈推荐！,This mechanical keyboard feels amazing， highly recommended!
chat.official_announcement,chat,官方公告,Official Notice,官方公告,Official Notice
chat.online,chat,在线,Online,在线,Online
chat.order_now,chat,立即下单,Order Now,立即下单,Order Now
chat.owner_recommend,chat,群主推荐,Owner Picks,群主推荐,Owner Picks
chat.topic_opinion,chat,关于这个话题，大家怎么看？,What do you think about this topic?,关于这个话题，大家怎么看？,What do you think about this topic?
chat.view_activity,chat,查看活动,View Event,查看活动,View Event
chat.welcome_to,chat,欢迎来到,Welcome to,欢迎来到,Welcome to
chatroom.artisan_crafted_wireless_earbu,chatroom,匠心打造的无线降噪耳机,Artisan Crafted Wireless Earbuds with Noise Cancellation,匠心打造的无线降噪耳机,Artisan Crafted Wireless Earbuds with Noise Cancellation
chatroom.pinned,chatroom,默认,pinned,默认,pinned
chatroom.user_a,chatroom,User_A,User_A,User_A,User_A
checkout.123_artisan_ave_new_york_ny_10,checkout,123 Artisan Ave， New York， NY 10001,123 Artisan Ave， New York， NY 10001,123 Artisan Ave， New York， NY 10001,123 Artisan Ave， New York， NY 10001
checkout.available_balance,checkout,可用余额,Available balance,可用余额,Available balance
checkout.back_to_checkout,checkout,返回支付页,Back to Checkout,返回支付页,Back to Checkout
checkout.balance_deduction,checkout,余额抵扣,Balance Deduction,余额抵扣,Balance Deduction
checkout.balance_pay,checkout,余额支付,0Buck Balance,余额支付,0Buck Balance
checkout.can_stack,checkout,（可叠加）,(Stackable),（可叠加）,(Stackable)
checkout.confirm,checkout,核对订单,Confirm Order,核对订单,Confirm Order
checkout.confirm_order_total,checkout,确认订单 •,Confirm Order •,确认订单 •,Confirm Order •
checkout.crypto_pay,checkout,USDC 支付,USDC Crypto,USDC 支付,USDC Crypto
checkout.discounts_applied,checkout,选用,Selected,选用,Selected
checkout.estimated_total,checkout,预计总额,Estimated Total,预计总额,Estimated Total
checkout.full_balance_payment,checkout,全额余额支付,Full Balance Payment,全额余额支付,Full Balance Payment
checkout.item_total,checkout,合计,Total,合计,Total
checkout.long,checkout,Long,Long,Long,Long
checkout.min_spend,checkout,最低消费,Min spend,最低消费,Min spend
checkout.mixed_payment_desc,checkout,剩余金额将通过第三方支付方式结算,Remaining amount will be settled via 3rd party payment,剩余金额将通过第三方支付方式结算,Remaining amount will be settled via 3rd party payment
checkout.no_voucher_available,checkout,暂无可用代金券,No Vouchers Available,暂无可用代金券,No Vouchers Available
checkout.order_summary,checkout,订单汇总,Order Summary,订单汇总,Order Summary
checkout.payment_methods_supported,checkout,支持的支付方式,Supported Payment Methods,支持的支付方式,Supported Payment Methods
checkout.payment_success_desc,checkout,您的订单已确认，返现挑战已将启,Your order is confirmed and the cashback challenge is starting.,您的订单已确认，返现挑战已将启,Your order is confirmed and the cashback challenge is starting.
checkout.payment_success_title,checkout,支付成功！,Payment Successful!,支付成功！,Payment Successful!
checkout.paypal,checkout,PayPal,PayPal,PayPal,PayPal
checkout.place_order,checkout,立即下单,Place Order,立即下单,Place Order
checkout.redirecting_to_shopify,checkout,正在为您跳转至 Shopify 收银台...,Redirecting to Shopify Checkout...,正在为您跳转至 Shopify 收银台...,Redirecting to Shopify Checkout...
checkout.remaining_to_pay,checkout,剩余应付,Remaining to pay,剩余应付,Remaining to pay
checkout.secure_checkout,checkout,100% 购物返现,Secure 100% Rebate Checkout,100% 购物返现,Secure 100% Rebate Checkout
checkout.securing_connection,checkout,正在连接 Shopify 加密收银台...,Securing connection to Shopify...,正在连接 Shopify 加密收银台...,Securing connection to Shopify...
checkout.select_voucher,checkout,选择代金券,Select Voucher,选择代金券,Select Voucher
checkout.tap_to_toggle,checkout,点击切换,Tap to toggle,点击切换,Tap to toggle
checkout.tax,checkout,预计税费,Estimated Tax,预计税费,Estimated Tax
checkout.total,checkout,总计,Total,总计,Total
checkout.use_balance,checkout,使用账户余额抵扣,Use account balance,使用账户余额抵扣,Use account balance
checkout.voucher,checkout,代金券,Voucher,代金券,Voucher
common.add,common,添加,Add,添加,Add
common.all,common,全部,All,全部,All
common.all_selected,common,全选,All,全选,All
common.back,common,返回,Back,返回,Back
common.cancel,common,取消,Cancel,取消,Cancel
common.change,common,更改,Change,更改,Change
common.checkout_count,common,去结算 ({count}),Checkout ({count}),去结算 ({count}),Checkout ({count})
common.completed,common,Completed,Completed,Completed,Completed
common.confirm,common,确定,Confirm,确定,Confirm
common.copy,common,复制,Copy,复制,Copy
common.currency_usd,common,USD,USD,USD,USD
common.days,common,天,days,天,days
common.delete,common,移除,Remove,移除,Remove
common.details,common,查看详情,Details,查看详情,Details
common.edit,common,编辑,Edit,编辑,Edit
common.error,common,操作失败,Error,操作失败,Error
common.fans_requirement,common,活跃粉丝,Active Fans,活跃粉丝,Active Fans
common.friday,common,星期五,Friday,星期五,Friday
common.ignore,common,忽略,Ignore,忽略,Ignore
common.is_friend,common,已是好友,Friends,已是好友,Friends
common.loading,common,正在处理...,Processing...,正在处理...,Processing...
common.logs,common,条日志,logs,条日志,logs
common.manage,common,管理,Manage,管理,Manage
common.me,common,我,Me,我,Me
common.members,common,位成员,members,位成员,members
common.monday,common,星期一,Monday,星期一,Monday
common.more,common,更多,More,更多,More
common.no_data,common,暂无记录,No Data,暂无记录,No Data
common.no_messages,common,暂无消息,No messages yet,暂无消息,No messages yet
common.now,common,刚刚,Just Now,刚刚,Just Now
common.remove_all,common,清除全部,Remove All,清除全部,Remove All
common.saturday,common,星期六,Saturday,星期六,Saturday
common.save,common,保存,Save,保存,Save
common.share_earn,common,分享赚奖励,Share & Earn,分享赚奖励,Share & Earn
common.spend_requirement,common,累计消费,Total Spend,累计消费,Total Spend
common.success,common,操作成功,Success,操作成功,Success
common.sunday,common,星期日,Sunday,星期日,Sunday
common.thursday,common,星期四,Thursday,星期四,Thursday
common.total,common,合计:,Total:,合计:,Total:
common.tuesday,common,星期二,Tuesday,星期二,Tuesday
common.unit_earned,common,已赚取,Earned,已赚取,Earned
common.unit_items,common,件商品,items,件商品,items
common.unit_points,common,积分,PTS,积分,PTS
common.unit_reviews,common,条评价,reviews,条评价,reviews
common.wednesday,common,星期三,Wednesday,星期三,Wednesday
common.yesterday,common,昨天,Yesterday,昨天,Yesterday
contact.accept,contact,接受,receive,接受,receive
contact.added,contact,已添加,Get,已添加,Get
contact.discover,contact,发现,Find,发现,Find
contact.expired,contact,已过期,Expired,已过期,Expired
contact.groups,contact,群聊,Community,群聊,Community
contact.my_feeds,contact,我的动态,Activity,我的动态,Activity
contact.new_friends,contact,新的朋友,New friends,新的朋友,New friends
contact.search_placeholder,contact,搜索联系人、群聊...,"Search contacts, group chats...",搜索联系人、群聊...,"Search contacts, group chats..."
contact.star_friends,contact,星标朋友,Starred friends,星标朋友,Starred friends
contacts.added,contacts,更多,added,更多,added
contacts.alex,contacts,Alex,Alex,Alex,Alex
contacts.alex_design,contacts,Alex Design,Alex Design,Alex Design,Alex Design
contacts.carl,contacts,Carl,Carl,Carl,Carl
contacts.david_w,contacts,David Wilson,David Wilson,David Wilson,David Wilson
contacts.elena_r,contacts,Elena Rodriguez,Elena Rodriguez,Elena Rodriguez,Elena Rodriguez
contacts.geek_master,contacts,Geek Master,Geek Master,Geek Master,Geek Master
contacts.gtja_support,contacts,GTJA Support,GTJA Support,GTJA Support,GTJA Support
contacts.jessie,contacts,Jessie,Jessie,Jessie,Jessie
contacts.lorna,contacts,Lorna,Lorna,Lorna,Lorna
contacts.lorna_tech,contacts,Lorna Tech,Lorna Tech,Lorna Tech,Lorna Tech
contacts.mike_j,contacts,Mike Johnson,Mike Johnson,Mike Johnson,Mike Johnson
contacts.premium_wine_17277618867,contacts,Premium Wine 17277618867,Premium Wine 17277618867,Premium Wine 17277618867,Premium Wine 17277618867
contacts.sarah_c,contacts,Sarah Chen,Sarah Chen,Sarah Chen,Sarah Chen
contacts.user_a,contacts,User A,User A,User A,User A
contacts.user_b,contacts,User B,User B,User B,User B
contacts.vortex_fan,contacts,Vortex Fan,Vortex Fan,Vortex Fan,Vortex Fan
coupon.condition_electronics,coupon,Applicable to Electronics,Applicable to Electronics,Applicable to Electronics,Applicable to Electronics
coupon.condition_min_50,coupon,Min. spend,Min. spend,Min. spend,Min. spend
coupon.condition_no_min,coupon,No minimum spend,No minimum spend,No minimum spend,No minimum spend
coupon.expired_label,coupon,已失效,Expired,已失效,Expired
coupon.expiring_badge,coupon,Expiring,Expiring,Expiring,Expiring
coupon.get_action,coupon,去拿券 (Get Coupons),Get Coupons,去拿券 (Get Coupons),Get Coupons
coupon.get_desc,coupon,前往活动中领取无门槛折扣券，获得最大优惠！,Head over to the event to claim your no-minimum-spend discount coupon and get the best deals!,前往活动中领取无门槛折扣券，获得最大优惠！,Head over to the event to claim your no-minimum-spend discount coupon and get the best deals!
coupon.no_discounts,coupon,暂无可用购物折扣,No available shopping discounts,暂无可用购物折扣,No available shopping discounts
coupon.no_perks,coupon,暂无平台特权,No platform perks available,暂无平台特权,No platform perks available
coupon.perks_desc,coupon,您可以用积分兑换续签卡、解锁高级会员标识，享受更多权益。,"You can use points to renew your membership card, unlock premium membership badges, and enjoy more benefits.",您可以用积分兑换续签卡、解锁高级会员标识，享受更多权益。,"You can use points to renew your membership card, unlock premium membership badges, and enjoy more benefits."
coupon.title_free_ship,coupon,Free Shipping Voucher,Free Shipping Voucher,Free Shipping Voucher,Free Shipping Voucher
coupon.title_geek_week,coupon,Geek Week Special,Geek Week Special,Geek Week Special,Geek Week Special
coupon.title_new_user,coupon,New User Bonus,New User Bonus,New User Bonus,New User Bonus
coupon.type_cash,coupon,Cash OFF,Cash OFF,Cash OFF,Cash OFF
coupon.type_discount,coupon,Discount,Discount,Discount,Discount
coupon.type_shipping,coupon,Shipping,Shipping,Shipping,Shipping
coupon.valid_2_days,coupon,Expiring in 2 days,Expiring in 2 days,Expiring in 2 days,Expiring in 2 days
coupon.value_free,coupon,Free,Free,Free,Free
coupons.available,coupons,available,available,available,available
coupons.expiring,coupons,Expiring,Expiring,Expiring,Expiring
coupons.expiring_soon,coupons,expiring_soon,expiring_soon,expiring_soon,expiring_soon
coupons.free,coupons,Free,Free,Free,Free
coupons.free_shipping_voucher,coupons,Free Shipping Voucher,Free Shipping Voucher,Free Shipping Voucher,Free Shipping Voucher
coupons.geek_week_special,coupons,Geek Week Special,Geek Week Special,Geek Week Special,Geek Week Special
coupons.new_user_bonus,coupons,New User Bonus,New User Bonus,New User Bonus,New User Bonus
coupons.used,coupons,used,used,used,used
couponsdrawer.10,couponsdrawer,$10,$10,$10,$10
couponsdrawer.20,couponsdrawer,20%,20%,20%,20%
customer.reply,customer,客服回访,Customer service follow-up,客服回访,Customer service follow-up
fan.active_rates,fan,当前生效比例,Current Active Rates,当前生效比例,Current Active Rates
fan.all_tiers,fan,全等级比例对比,All Tiers Comparison,全等级比例对比,All Tiers Comparison
fan.apply_now,fan,立即申请,Apply Now,立即申请,Apply Now
fan.cashback_amount,fan,签到返现金额,Cashback Amount,签到返现金额,Cashback Amount
fan.check_in_all,fan,签到所有订单,Batch Check-in All,签到所有订单,Batch Check-in All
fan.check_in_done,fan,今日已全部签到,Checked-in for today,今日已全部签到,Checked-in for today
fan.current_tier,fan,当前等级,Current Tier,当前等级,Current Tier
fan.days_left_prefix,fan,剩,Left,剩,Left
fan.days_left_suffix,fan,天,days,天,days
